Chunk ID,Section ID,Page From,Page To,Content,Document PDF,similarity_pct
b607616f-7e2f-4810-ac7e-019f816c8828,,1,1,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 1 of 64",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,20.23232284669919
c6a53257-d4e5-40d4-9ac4-05c32f95d6ce,,1,1,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 1 of 64
Acko Health Insurance Policy Policy Wordings 1 Preamble This Policy Wording, together with the Schedule of Benefits, is an insurance contract between You and Us. On receipt of premium as specified in the Schedule, We promise to provide You insurance for the covers specified in the Schedule, subject to terms and conditions explained in this document. We promise to cover You basis the statements made in the proposal form, by You or on Your behalf and on behalf of all Insured Persons, which is incorporated into the Policy as a copy of the duly completed proposal form. In case such statements and/or information are incorrect, in complete or inaccurate in any way, We shall have the right to re-evaluate the terms of the Benefits for the remainder of the Policy Period. Please do review these details for accuracy completeness and reach out to Us for any amendments required. Some keywords related to and used in the Policy have been defined in Section 9 (Definitions). Such words appear in Initial Capital letters in the document. This document explains the following details related to Your Policy: General conditions applicable to Benefits Basic Benefits Basic Benefit Options Exclusions Add-on Benefits Claim process Other terms and conditions 2 General Conditions Applicable to Benefits 1. Schedule: The Schedule specifies which Benefits are in force for the Insured Person(s) under the Policy together with the cover conditions applicable to the Benefits. 2. Limitations on the Benefits covered: Claims made in respect of an Insured Person for any of the Benefits applicable to the Insured Person shall be subject to the availability of the applicable Sum Insured as well as applicable Sub-limits/ Co-Payment /Deductibles/other conditions specified for the Benefits, applicable Waiting Periods (if any), as specified in the Schedule and the terms, conditions and exclusions of this Policy. 3. Sum Insured Basis: The Sum Insured available for the Benefits applicable to the Insured Persons may be available either on Individual or Floater basis as specified in the Schedule. In case of Individual basis, Our maximum, total, and cumulative liability for any and all claims made under a Benefit with respect to the Insured Person will be up to the Sum Insured specified against the Benefit. In case of Floater basis, Our maximum, total, and cumulative liability for any and all claims made under a Benefit with respect to all the Insured Persons under the Policy, will be up to the Sum Insured specified against the Benefit. 4. Application of Sum Insured (SI) limits: Each Benefit is subject to a Sum Insured limit which is Our maximum, cumulative and total liability for the Benefit for all the Insured Person(s) in the Policy as following:",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,22.605457616502957
857f5321-72f1-4c3b-abe9-f5d4d4867347,,2,2,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 2 of 64",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,20.62829978803393
6a846164-9506-43f5-bdfd-e07a178826ad,Coverage,2,2,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 2 of 64
a. The claim amount payable will always be subject to availability of Sum Insured for the particular Benefit, as specified in the Schedule. Where the Coverage Period is for a period of more than one year, the Sum Insured will be applicable for each Policy Year, unless specified otherwise in the Schedule. b. The type of Sum Insured available for the Basic Benefit, are as follows: i. Base Sum Insured ii. Inflation Protect Sum Insured iii. Restore Sum Insured iv. No Claim Bonus (NCB) Sum Insured (if opted for) c. Our total, cumulative and maximum liability for a Basic Benefit in a Policy Year is the sum of the Base Sum Insured, Inflation Protect Sum Insured, Restore Sum Insured, and NCB Sum Insured (if opted). d. Our total, cumulative and maximum liability for Any One Illness in a Policy Year is the sum of Base Sum Insured and Inflation Protect Sum Insured. e. Each Add-on Benefit has its own Sum Insured which is in addition to the Sum Insured applicable to the Basic Benefit. f. Any Sum Insured which is not availed in any particular Policy Year, shall not be carried forward to any subsequent Policy Year, unless explicitly specified in the Schedule/Certificate of Insurance. 5. Consequential losses not covered: We do not assume any liability and shall not be deemed to assume any liability towards any loss or damage arising out of or in relation to any opinion, actual or alleged errors, omissions and representations made by the Network Provider / Empanelled Service Providers in relation to the services availed under this Policy. 6. Reasonable and Customary: We will indemnify only those costs and expenses whether medical or non-medical related, that are Reasonable and Customary Charges. 7. Claim Process: All claims must be made in accordance with the procedure set out in Section 7. 3 Basic Benefits All the Benefits under this Section are available to the Insured Person(s). The Sum Insured limits, Exclusions including Waiting Periods and Basic Benefit Options applicable are as opted by You in the proposal form and as specified in the Schedule. Claims under the Basic Benefit 3.1 (In-patient Hospitalization) and Basic Benefit 3.2 (Day-care treatment) will be admissible subject to the fulfilment of the following conditions with respect to the Insured Person’s Hospitalization: a. The Hospitalization of the Insured Person is caused solely and directly due to an Illness contracted or an Injury sustained by the Insured Person during the Coverage Period, as specified in the Schedule. The Date of Admission is within the Coverage Period. The Hospitalization is for Medically Necessary Treatment of that Illness or Injury, and commences and continues on the written advice of the treating Medical Practitioner. 3.1 In-patient Hospitalization We will indemnify the Medical Expenses incurred towards the Insured Person’s Hospitalization as an in-patient, provided that the Medical Expenses are incurred towards one or more of the following:",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,23.437167610953345
b137c1cc-ac8a-4211-96ed-48b309667367,,3,3,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 3 of 64",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,20.716057462457304
de309ee6-8d9e-4f92-8f1c-e58912a6a5fd,,3,3,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 3 of 64
(i) Room Rent; (ii) ICU/CCU/HDU charges; (iii) Operation theatre charges; (iv) Medical Practitioners’ fees; (v) Medicines prescribed by the treating Medical Practitioner; (vi) Diagnostic tests directly related to the current Hospitalization; and, (vii) Surgical Appliance and/or Medical Appliance(s) prescribed by the treating Medical Practitioner. Some expenses as specified in Section 11.1 (Annexure I) are not covered in the Policy, unless specified otherwise in the Schedule. Room Rent / Room Category / ICU Charges The Schedule will specify the eligibility of Room Rent or Room Category or ICU Charges applicable for the lnsured Person(s) under the Policy. If the availed Room Rent / Room Category / ICU Charges are higher than that specified in the Schedule, then the Insured Person shall bear a rateable proportion of the total Covered In-patient Medical Expenses (including surcharge or taxes thereon) in the proportion of the difference between the Room Rent of the entitled Room Category to the Room Rent actually incurred. The Room Category (or eligible Room Rent) will be specified in the Schedule for the Insured Person. The nomenclature of Room Category may vary from one Hospital to the other, and the specification and description of the Room Category, as specified in the Policy Schedule/ shall be used to determine the applicable Room Category. 3.2 Day Care Treatment We will indemnify the Medical Expenses incurred towards Day Care Treatment undertaken by an Insured Person in a Hospital / nursing home / Day Care Centre. Any treatment undertaken as an Out-Patient or in an out-patient department is not covered under this Benefit. 3.3 Pre & Post Hospitalization Medical Expenses We will indemnify the relevant Medical Expenses incurred towards an Insured Person in relation to: a. Pre-hospitalization Medical Expenses of an Insured Person incurred up to the number of days specified in the Schedule, immediately prior to the Date of Admission or date of commencement of the Day Care Treatment; and b. Post-Hospitalization Medical Expenses of an Insured Person incurred up to the number of days specified in the Schedule, immediately post the date of discharge from the Hospital or date of completion of the Day Care Treatment. The above Medical Expenses shall be payable provided that a claim has been admitted for the same Hospitalization under Basic Benefit 3.1 (In-patient Hospitalization) or Basic Benefit 3.2 (Day Care Treatment) above. 3.4 Road Ambulance We will indemnify the reasonable costs incurred towards transportation of an Insured Person to a Hospital or a Day Care Centre by an Ambulance or public transport, in case of the Insured Person requiring Emergency Care. This Basic Benefit is payable provided that: a. We have accepted a claim under Basic Benefit 3.1 (In-patient Hospitalization) or Basic Benefit 3.2 (Day Care Treatment) for the same Illness or Injury;",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,24.779475460601653
0f879483-278e-4395-b88f-26d869125a51,,4,4,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 4 of 64",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,20.739696919918206
0b97b55d-3fe7-49ac-9e3d-ad848331a804,,4,4,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 4 of 64
It is medically necessary to transport the Insured Person using an Ambulance. We shall not be liable to pay any expenses in relation to transportation of the Insured Person from Hospital to the Insured Person’s residence unless medically necessary and pre-approved by Us. 3.5 Domestic Emergency Evacuation In case of a medical Emergency during the Coverage Period in respect to an Insured Person, if adequate medical facilities are not available locally, We will indemnify the reasonable costs towards emergency evacuation of the Insured Person to the nearest medical facility capable of providing adequate care, provided that: a. The emergency evacuation must be certified in writing by the attending Medical Practitioner for the evacuation to be medically necessary to prevent the immediate and significant effects of an Illness/Injury which if left untreated could result in a significant deterioration of health. The emergency evacuation is pre-authorised by Us. Only where it can be demonstrated to Our satisfaction that it was not reasonably possible for pre-authorisation to be sought before the evacuation takes place, authorisation should be sought as soon as possible after the emergency evacuation has occurred. In considering such requests, We will consider the nature of the Insured Person’s Illness or Injury, the Insured Person’s condition and ability to travel, as well as other relevant circumstances including airport availability, weather conditions and distance to be covered. The Insured Person’s medical condition must require the accompaniment of a qualified Medical Practitioner during the entire course of the transportation to be considered as requiring emergency evacuation. Transportation will be provided by medically equipped specialty aircraft, commercial airline, train, Ambulance or air ambulance depending upon the medical needs and available transportation specific to each case, and within the geographical territory of India only. 3.6 Domiciliary Treatment Cover We will indemnify the Medical Expenses incurred on the Domiciliary Hospitalization of an Insured Person during the Coverage Period following an Illness or Injury that occurs during the Coverage Period, provided that: a. The Domiciliary Hospitalization continues for at least 3 consecutive days in which case We shall make payment under this Benefit in respect of Medical Expenses incurred from the first day of Domiciliary Hospitalization; The treating Medical Practitioner confirms in writing that Domiciliary Hospitalization was medically necessary. Medical Expenses can be claimed under this Basic Benefit on a reimbursement basis only. 3.7 Organ Donor Expenses We will indemnify the Hospitalization expenses specified in Section 3.1 (In-patient Hospitalization) incurred by an Insured Person’s organ donor as an in-patient towards harvesting of the organ, provided that: a. We have admitted a claim under Section 3.1 (In-patient Hospitalization) for the Insured Person under this Policy and it is related to the same Illness or Injury. The organ donation is in accordance with the Transplantation of Human Organs Act 1994 (as amended from time to time) and other applicable laws and rules. The organ donated is for the use of the Insured Person who has been advised to undergo an organ transplant in writing by the treating Medical Practitioner.",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,26.10215855862601
426e560e-0dd2-4896-9d97-681af3cb5d9d,,5,5,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 5 of 64",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,20.861181123397486
961d5cb1-2d4a-4257-9645-ea4c2e54374a,,24,24,"Acko General Insurance Limited Acko Health Insurance Policy
Acko General Insurance Limited IRDAI Reg No: 157 | CIN: U66000MH2016PLC287385 | UIN: ACKHLIP20039V012021 www.acko.com | Toll free: 1800 266 2256 | Mail: hello@acko.com Page 24 of 64",D:\Professonal\projects\chatbot\data\Acko Health Insurance Policy2020-2021.pdf,21.504836857895484
